year,month,week,day,building,floor,zone,entrance,exit
2020,10,44,30,mbk,000_g,gb,16760,16994
2020,10,44,30,mbk,000_g,gc,12792,12877
2020,10,44,30,mbk,000_g,gd,8530,7727
2020,10,44,30,mbk,001_2nd,2a,11922,12100
2020,10,44,30,mbk,001_2nd,2b,21976,20946
2020,10,44,30,mbk,001_2nd,2c,16246,16382
2020,10,44,30,mbk,001_2nd,2d,4622,4574
2020,10,44,30,mbk,002_3rd,3a,10311,10554
2020,10,44,30,mbk,002_3rd,3b,17599,18718
2020,10,44,30,mbk,002_3rd,3c,10146,10531
2020,10,44,30,mbk,002_3rd,3d,10863,10660
2020,10,44,30,mbk,003_4th,4a,9553,9412
2020,10,44,30,mbk,003_4th,4b,20668,20369
2020,10,44,30,mbk,003_4th,4c,17789,17025
2020,10,44,30,mbk,003_4th,4d,8382,8784
2020,10,44,30,mbk,004_5th,5a,7095,7444
2020,10,44,30,mbk,004_5th,5b,10006,10218
2020,10,44,30,mbk,004_5th,5c,6340,6392
2020,10,44,30,mbk,004_5th,5d,2539,2441
2020,10,44,30,mbk,005_6th,6a,6860,6823
2020,10,44,30,mbk,005_6th,6b,10320,10481
2020,10,44,30,mbk,005_6th,6c,7321,7573
2020,10,44,30,mbk,005_6th,6d,2258,2216
2020,10,44,30,mbk,006_7th,7z,7841,7417
2020,10,44,30,mbk,007_8th,8z,1560,2066
2020,10,44,30,mbk,008_m,mz,324,357
2020,10,44,30,tokyu,000_tokyu,tokyu,12622,12428
2020,10,44,30,tower,000_tower,tower,2326,2272
2020,10,44,31,alaart,001_alaart2nd,alaart2z,3167,4012
2020,10,44,31,alaart,002_alaart3rd,alaart3z,4221,3323
2020,10,44,31,mbk,000_g,ga,11251,11534
2020,10,44,31,mbk,000_g,gb,20446,20564
2020,10,44,31,mbk,000_g,gc,13920,13965
2020,10,44,31,mbk,000_g,gd,8300,7484
2020,10,44,31,mbk,001_2nd,2a,13432,13495
2020,10,44,31,mbk,001_2nd,2b,24498,25635
2020,10,44,31,mbk,001_2nd,2c,19394,19250
2020,10,44,31,mbk,001_2nd,2d,5865,5865
2020,10,44,31,mbk,002_3rd,3a,14049,14326
2020,10,44,31,mbk,002_3rd,3b,24134,23856
2020,10,44,31,mbk,002_3rd,3c,12895,13366
2020,10,44,31,mbk,002_3rd,3d,12431,12134
2020,10,44,31,mbk,003_4th,4a,10815,10660
2020,10,44,31,mbk,003_4th,4b,25621,25404
2020,10,44,31,mbk,003_4th,4c,22304,21486
2020,10,44,31,mbk,003_4th,4d,9660,10099
2020,10,44,31,mbk,004_5th,5a,7607,7641
2020,10,44,31,mbk,004_5th,5b,13641,13652
2020,10,44,31,mbk,004_5th,5c,7963,7918
2020,10,44,31,mbk,004_5th,5d,2741,2580
2020,10,44,31,mbk,005_6th,6a,7935,7858
2020,10,44,31,mbk,005_6th,6b,13922,14253
2020,10,44,31,mbk,005_6th,6c,8666,9102
2020,10,44,31,mbk,005_6th,6d,2507,2585
2020,10,44,31,mbk,006_7th,7z,9051,8801
2020,10,44,31,mbk,007_8th,8z,874,970
2020,10,44,31,mbk,008_m,mz,201,216
2020,10,44,31,tokyu,000_tokyu,tokyu,16364,16318
2020,10,44,31,tower,000_tower,tower,319,326
