year,month,week,day,building,floor,direction,area,count
2020,10,43,23,mbk,006_7th,exit,lift_15,298
2020,10,43,23,mbk,006_7th,exit,lift_16,220
2020,10,43,23,mbk,006_7th,exit,lift_17,143
2020,10,43,23,mbk,006_7th,exit,lift_18,177
2020,10,43,23,mbk,006_7th,exit,lift_19,181
2020,10,43,23,mbk,007_8th,entrance,006_7th,89
2020,10,43,23,mbk,007_8th,entrance,lift_10,72
2020,10,43,23,mbk,007_8th,entrance,lift_11,3
2020,10,43,23,mbk,007_8th,entrance,lift_12,0
2020,10,43,23,mbk,007_8th,entrance,lift_13,2
2020,10,43,23,mbk,007_8th,entrance,lift_14,0
2020,10,43,23,mbk,007_8th,entrance,lift_15,18
2020,10,43,23,mbk,007_8th,entrance,lift_17,25
2020,10,43,23,mbk,007_8th,entrance,lift_18,36
2020,10,43,23,mbk,007_8th,entrance,lift_19,24
2020,10,43,23,mbk,007_8th,exit,006_7th,90
2020,10,43,23,mbk,007_8th,exit,lift_10,72
2020,10,43,23,mbk,007_8th,exit,lift_11,2
2020,10,43,23,mbk,007_8th,exit,lift_12,0
2020,10,43,23,mbk,007_8th,exit,lift_13,0
2020,10,43,23,mbk,007_8th,exit,lift_14,0
2020,10,43,23,mbk,007_8th,exit,lift_15,29
2020,10,43,23,mbk,007_8th,exit,lift_17,30
2020,10,43,23,mbk,007_8th,exit,lift_18,31
2020,10,43,23,mbk,007_8th,exit,lift_19,29
2020,10,43,23,mbk,008_m,entrance,lift_10,4
2020,10,43,23,mbk,008_m,entrance,lift_11,0
2020,10,43,23,mbk,008_m,entrance,lift_12,0
2020,10,43,23,mbk,008_m,entrance,lift_13,0
2020,10,43,23,mbk,008_m,entrance,lift_14,0
2020,10,43,23,mbk,008_m,entrance,lift_17,49
2020,10,43,23,mbk,008_m,entrance,lift_18,57
2020,10,43,23,mbk,008_m,entrance,lift_19,58
2020,10,43,23,mbk,008_m,exit,lift_10,4
2020,10,43,23,mbk,008_m,exit,lift_11,2
2020,10,43,23,mbk,008_m,exit,lift_12,0
2020,10,43,23,mbk,008_m,exit,lift_13,0
2020,10,43,23,mbk,008_m,exit,lift_14,0
2020,10,43,23,mbk,008_m,exit,lift_17,57
2020,10,43,23,mbk,008_m,exit,lift_18,49
2020,10,43,23,mbk,008_m,exit,lift_19,60
2020,10,43,23,tokyu,000_tokyu,entrance,000_g,962
2020,10,43,23,tokyu,000_tokyu,entrance,001_2nd,1380
2020,10,43,23,tokyu,000_tokyu,entrance,002_3rd,1340
2020,10,43,23,tokyu,000_tokyu,entrance,003_4th,1680
2020,10,43,23,tokyu,000_tokyu,entrance,004_5th,2037
2020,10,43,23,tokyu,000_tokyu,entrance,tokyu,2285
2020,10,43,23,tokyu,000_tokyu,exit,000_g,907
2020,10,43,23,tokyu,000_tokyu,exit,001_2nd,1509
2020,10,43,23,tokyu,000_tokyu,exit,002_3rd,1259
2020,10,43,23,tokyu,000_tokyu,exit,003_4th,1736
2020,10,43,23,tokyu,000_tokyu,exit,004_5th,2046
2020,10,43,23,tokyu,000_tokyu,exit,tokyu,2378
2020,10,43,23,tower,000_tower,entrance,lift_tower_1,4
2020,10,43,23,tower,000_tower,entrance,lift_tower_2,78
2020,10,43,23,tower,000_tower,entrance,lift_tower_3,10
2020,10,43,23,tower,000_tower,entrance,lift_tower_4,73
2020,10,43,23,tower,000_tower,entrance,lift_tower_5,0
2020,10,43,23,tower,000_tower,exit,lift_tower_1,2
2020,10,43,23,tower,000_tower,exit,lift_tower_2,88
2020,10,43,23,tower,000_tower,exit,lift_tower_3,1
2020,10,43,23,tower,000_tower,exit,lift_tower_4,43
2020,10,43,23,tower,000_tower,exit,lift_tower_5,0
2020,10,43,24,alaart,001_alaart2nd,entrance,000_alaart1st,1545
2020,10,43,24,alaart,001_alaart2nd,entrance,002_alaart3rd,888
2020,10,43,24,alaart,001_alaart2nd,exit,000_alaart1st,1478
2020,10,43,24,alaart,001_alaart2nd,exit,002_alaart3rd,1482
2020,10,43,24,alaart,002_alaart3rd,entrance,001_alaart2nd,1482
2020,10,43,24,alaart,002_alaart3rd,entrance,alaart,1434
2020,10,43,24,alaart,002_alaart3rd,exit,001_alaart2nd,888
2020,10,43,24,alaart,002_alaart3rd,exit,alaart,1442
2020,10,43,24,mbk,000_g,entrance,000_tokyu,831
2020,10,43,24,mbk,000_g,entrance,001_2nd,5369
2020,10,43,24,mbk,000_g,entrance,ground,3339
2020,10,43,24,mbk,000_g,entrance,hotel,653
2020,10,43,24,mbk,000_g,entrance,lift_10,337
2020,10,43,24,mbk,000_g,entrance,lift_11,406
2020,10,43,24,mbk,000_g,entrance,lift_12,402
2020,10,43,24,mbk,000_g,entrance,lift_13,184
2020,10,43,24,mbk,000_g,entrance,lift_14,194
2020,10,43,24,mbk,000_g,entrance,lift_15,284
2020,10,43,24,mbk,000_g,entrance,lift_16,232
2020,10,43,24,mbk,000_g,entrance,lift_17,324
2020,10,43,24,mbk,000_g,entrance,lift_18,264
2020,10,43,24,mbk,000_g,entrance,lift_19,301
2020,10,43,24,mbk,000_g,entrance,lift_tower_1,1
2020,10,43,24,mbk,000_g,entrance,lift_tower_2,60
2020,10,43,24,mbk,000_g,entrance,lift_tower_3,2
2020,10,43,24,mbk,000_g,entrance,lift_tower_4,59
