year,month,week,day,building,direction,area,count
2020,10,44,27,mbk,exit,service,1108
2020,10,44,27,mbk,exit,taxi,859
2020,10,44,27,mbk,exit,tokyu,2375
2020,10,44,27,mbk,exit,tower,146
2020,10,44,27,tokyu,entrance,bts,1396
2020,10,44,27,tokyu,entrance,ground,957
2020,10,44,27,tokyu,entrance,mbk,7229
2020,10,44,27,tokyu,exit,bts,1766
2020,10,44,27,tokyu,exit,ground,609
2020,10,44,27,tokyu,exit,mbk,7186
2020,10,44,27,tower,entrance,lift_tower_1,660
2020,10,44,27,tower,entrance,lift_tower_2,577
2020,10,44,27,tower,entrance,lift_tower_3,550
2020,10,44,27,tower,entrance,lift_tower_4,271
2020,10,44,27,tower,entrance,lift_tower_5,232
2020,10,44,27,tower,exit,lift_tower_1,692
2020,10,44,27,tower,exit,lift_tower_2,572
2020,10,44,27,tower,exit,lift_tower_3,575
2020,10,44,27,tower,exit,lift_tower_4,212
2020,10,44,27,tower,exit,lift_tower_5,159
2020,10,44,28,alaart,entrance,alaart,3317
2020,10,44,28,alaart,exit,alaart,3265
2020,10,44,28,mbk,entrance,alaart,3813
2020,10,44,28,mbk,entrance,bts,5723
2020,10,44,28,mbk,entrance,chula,1774
2020,10,44,28,mbk,entrance,ground,3374
2020,10,44,28,mbk,entrance,hotel,873
2020,10,44,28,mbk,entrance,parking,13140
2020,10,44,28,mbk,entrance,service,1151
2020,10,44,28,mbk,entrance,taxi,838
2020,10,44,28,mbk,entrance,tokyu,2716
2020,10,44,28,mbk,entrance,tower,266
2020,10,44,28,mbk,exit,alaart,2790
2020,10,44,28,mbk,exit,bts,6768
2020,10,44,28,mbk,exit,chula,1687
2020,10,44,28,mbk,exit,ground,2831
2020,10,44,28,mbk,exit,hotel,800
2020,10,44,28,mbk,exit,parking,13889
2020,10,44,28,mbk,exit,service,1112
2020,10,44,28,mbk,exit,taxi,843
2020,10,44,28,mbk,exit,tokyu,2616
2020,10,44,28,mbk,exit,tower,187
2020,10,44,28,tokyu,entrance,bts,1624
2020,10,44,28,tokyu,entrance,ground,1092
2020,10,44,28,tokyu,entrance,mbk,8080
2020,10,44,28,tokyu,exit,bts,1904
2020,10,44,28,tokyu,exit,ground,712
2020,10,44,28,tokyu,exit,mbk,8069
2020,10,44,28,tower,entrance,lift_tower_1,704
2020,10,44,28,tower,entrance,lift_tower_2,544
2020,10,44,28,tower,entrance,lift_tower_3,572
2020,10,44,28,tower,entrance,lift_tower_4,295
2020,10,44,28,tower,entrance,lift_tower_5,245
2020,10,44,28,tower,exit,lift_tower_1,718
2020,10,44,28,tower,exit,lift_tower_2,543
2020,10,44,28,tower,exit,lift_tower_3,570
2020,10,44,28,tower,exit,lift_tower_4,288
2020,10,44,28,tower,exit,lift_tower_5,200
2020,10,44,29,alaart,entrance,alaart,2948
2020,10,44,29,alaart,exit,alaart,2943
2020,10,44,29,mbk,entrance,alaart,3679
2020,10,44,29,mbk,entrance,bts,5931
2020,10,44,29,mbk,entrance,chula,1664
2020,10,44,29,mbk,entrance,ground,3436
2020,10,44,29,mbk,entrance,hotel,758
2020,10,44,29,mbk,entrance,parking,12300
2020,10,44,29,mbk,entrance,service,909
2020,10,44,29,mbk,entrance,taxi,802
2020,10,44,29,mbk,entrance,tokyu,2854
2020,10,44,29,mbk,entrance,tower,274
2020,10,44,29,mbk,exit,alaart,2621
2020,10,44,29,mbk,exit,bts,7065
2020,10,44,29,mbk,exit,chula,1744
2020,10,44,29,mbk,exit,ground,2761
2020,10,44,29,mbk,exit,hotel,676
2020,10,44,29,mbk,exit,parking,13080
2020,10,44,29,mbk,exit,service,845
2020,10,44,29,mbk,exit,taxi,813
2020,10,44,29,mbk,exit,tokyu,2984
2020,10,44,29,mbk,exit,tower,183
2020,10,44,29,tokyu,entrance,bts,1899
2020,10,44,29,tokyu,entrance,ground,955
2020,10,44,29,tokyu,entrance,mbk,8366
