year,month,week,day,building,floor,zone,net_shopping_hour
2020,10,44,31,mbk,002_3rd,3a,1912.2783178517966
2020,10,44,31,mbk,002_3rd,3b,0.0
2020,10,44,31,mbk,002_3rd,3c,246.241775149716
2020,10,44,31,mbk,002_3rd,3d,2135.9038945423176
2020,10,44,31,mbk,003_4th,4a,3495.1516221040715
2020,10,44,31,mbk,003_4th,4b,1636.1216563994726
2020,10,44,31,mbk,003_4th,4c,4169.930226939876
2020,10,44,31,mbk,003_4th,4d,2633.8531007591437
2020,10,44,31,mbk,004_5th,5a,1703.6514997882102
2020,10,44,31,mbk,004_5th,5b,1361.8095765624753
2020,10,44,31,mbk,004_5th,5c,233.1724102794907
2020,10,44,31,mbk,004_5th,5d,116.54995652438198
2020,10,44,31,mbk,005_6th,6a,3446.8692003430647
2020,10,44,31,mbk,005_6th,6b,0.0
2020,10,44,31,mbk,005_6th,6c,2375.313491028589
2020,10,44,31,mbk,005_6th,6d,527.7419056641419
2020,10,44,31,mbk,006_7th,7z,7054.714027486238
2020,10,44,31,mbk,007_8th,8z,14.181129544876663
2020,10,44,31,mbk,008_m,mz,38.16430348258691
2020,10,44,31,tokyu,000_tokyu,tokyu,450.41288633061333
2020,10,44,31,tower,000_tower,tower,445.81172326715426
