year,month,week,day,building,floor,net_shopping_hour
2020,10,44,27,mbk,007_8th,2246.7728368708795
2020,10,44,27,mbk,008_m,190.0545943562608
2020,10,44,27,tokyu,000_tokyu,264.2508969233746
2020,10,44,27,tower,000_tower,1933.1175278990788
2020,10,44,28,alaart,001_alaart2nd,381.98616455529225
2020,10,44,28,alaart,002_alaart3rd,2.4235068799451986
2020,10,44,28,mbk,000_g,8257.712906780323
2020,10,44,28,mbk,001_2nd,17883.3843768561
2020,10,44,28,mbk,002_3rd,117.63250209209698
2020,10,44,28,mbk,003_4th,10479.87157777542
2020,10,44,28,mbk,004_5th,3708.585880697556
2020,10,44,28,mbk,005_6th,7565.093315473254
2020,10,44,28,mbk,006_7th,5058.262782557814
2020,10,44,28,mbk,007_8th,1989.2309973658998
2020,10,44,28,mbk,008_m,154.7367602823818
2020,10,44,28,tokyu,000_tokyu,1183.745496663075
2020,10,44,28,tower,000_tower,2300.4308423964226
2020,10,44,29,alaart,001_alaart2nd,203.5729310174904
2020,10,44,29,alaart,002_alaart3rd,165.53948372615005
2020,10,44,29,mbk,000_g,7118.837172655461
2020,10,44,29,mbk,001_2nd,17477.277457602704
2020,10,44,29,mbk,002_3rd,0.0
2020,10,44,29,mbk,003_4th,10705.705497188139
2020,10,44,29,mbk,004_5th,2943.4319394841195
2020,10,44,29,mbk,005_6th,5614.725160817762
2020,10,44,29,mbk,006_7th,3730.6391626185555
2020,10,44,29,mbk,007_8th,2078.030711768005
2020,10,44,29,mbk,008_m,46.45326523732481
2020,10,44,29,tokyu,000_tokyu,1040.8484612520363
2020,10,44,29,tower,000_tower,2302.2727919061294
2020,10,44,30,alaart,001_alaart2nd,265.55755341498946
2020,10,44,30,alaart,002_alaart3rd,130.31652206461692
2020,10,44,30,mbk,000_g,9641.109826747608
2020,10,44,30,mbk,001_2nd,14333.8225533113
2020,10,44,30,mbk,002_3rd,4462.092182202279
2020,10,44,30,mbk,003_4th,9521.27694899387
2020,10,44,30,mbk,004_5th,3943.789737116898
2020,10,44,30,mbk,005_6th,5582.323517579274
2020,10,44,30,mbk,006_7th,5309.697807394185
2020,10,44,30,mbk,007_8th,1977.7525281339033
2020,10,44,30,mbk,008_m,0.0
2020,10,44,30,tokyu,000_tokyu,1425.7399972560038
2020,10,44,30,tower,000_tower,1486.6880780070687
2020,10,44,31,alaart,001_alaart2nd,149.06035803248494
2020,10,44,31,alaart,002_alaart3rd,195.09346896470103
2020,10,44,31,mbk,000_g,9405.887027697596
2020,10,44,31,mbk,001_2nd,14015.57623597781
2020,10,44,31,mbk,002_3rd,537.0916363881112
2020,10,44,31,mbk,003_4th,11783.293366685828
2020,10,44,31,mbk,004_5th,3396.836726829116
2020,10,44,31,mbk,005_6th,5896.432225450537
2020,10,44,31,mbk,006_7th,7054.714027486238
2020,10,44,31,mbk,007_8th,14.181129544876663
2020,10,44,31,mbk,008_m,38.16430348258691
2020,10,44,31,tokyu,000_tokyu,450.41288633061333
2020,10,44,31,tower,000_tower,445.81172326715426
